id	isolate	aliases	country	year	disease	source	epidemiology	species	serogroup	genogroup	genogroup_notes	capsule_group	serotype	bioproject_accession	biosample_accession	ENA_run_accession	sender	strain_designation	Bact_rmlstc_20	Bact_rmlstc_10	Bact_rmlstc_5
46426	M-174		Malawi	NA				Neisseria blantyrii								ERR107398	2	ND: P1.ND,ND: F1-58: ST-6185 ()	356	947	1532
46458	M-345		Malawi	NA				Neisseria blantyrii								ERR107431	2	ND: P1.ND,ND: F6-2: ST-6270 ()	356	947	1532
46457	M-338		Malawi	NA				Neisseria blantyrii								ERR107430	2	ND: P1.ND,ND: F3-43: ST-6185 ()	356	947	1532
46425	M-173		Malawi	NA				Neisseria blantyrii								ERR107397	2	ND: P1.ND,ND: F1-58: ST-6185 ()	356	947	1532
46231	M_700M		Malawi	2006	carrier	throat swab	carrier	Neisseria blantyrii								ERR1674617	36	ND: P1.ND,ND: F-ND: ST-12400 ()	356	947	1532
46435	M-216		Malawi	NA				Neisseria blantyrii								ERR107407	2	ND: P1.ND,ND: F1-58: ST-6185 ()	356	947	1532
39716	LNP16983		France	1999				Neisseria canis									75	ND: P1.ND,ND: F-ND: ST-ND (-)	3201	6174	9776
49340	CCUG 56775 T	ATCC 14687; BennettTree54; Berger H6; CIP 103347; DSM 18000; H6; LMG 8383; LMG 8386; NCTC 10296; tc 10296	Germany	1962		other		Neisseria canis								ERR160775	8	ND: P1.ND,ND: F-ND: ST-ND (-)	243	648	1002
63431	M19 240441		UK	2019	carrier	throat swab	carrier	Neisseria cinerea	NG			NG				ERR3900344	161	NG: P1.ND,ND: F4-28: ST-16071 ()	27182	38694	50608
63425	M19 240435		UK	2019	carrier	throat swab	carrier	Neisseria cinerea	NG			NG				ERR3900342	161	NG: P1.ND,ND: F5-1: ST-16069 ()	206	571	9777
82630	ExNm726		Australia	NA				Neisseria cinerea									304	ND: P1.ND,ND: F-ND: ST-ND (-)			
3416	OX9931913	Ox99_31913	UK	1999	carrier	throat swab	carrier	Neisseria cinerea	NG			NG	NT			ERR2214310	60	NG: P1.ND,ND: F1-131: ST-2469 (cc167)	7314	11498	21259
39721	LNP981		France	1979				Neisseria cinerea									75	ND: P1.ND,ND: F5-1: ST-ND (-)	3204	6178	9781
61451	M46212		USA	2018	meningitis			Neisseria cinerea									364	ND: P1.ND,ND: F1-89: ST-13787 ()			
63433	M19 240443		UK	2019	carrier	throat swab	carrier	Neisseria cinerea	NG			NG				ERR3938490	161	NG: P1.ND,ND: F5-69: ST-ND (-)	27236	38763	50690
38986	LNP23132		France	NA				Neisseria cinerea									75	ND: P1.ND,ND: F4-28: ST-15690 ()	3202	6176	9779
36161	12040_2014		Ireland	2014	invasive (unspecified/other)			Neisseria cinerea	other			other				ERR976848	91	other: P1.ND,ND: F1-37: ST-11381 ()	5665	9096	13057
44631	OX42181		UK [England]	2015	carrier	throat swab	carrier	Neisseria cinerea	NG	cnl		cnl	NT			ERR1863039	161	cnl: P1.ND,ND: F3-3: ST-12747 ()	5187	8554	12450
700	31019101/3	Z6769	Mali	1991	carrier		endemic	Neisseria cinerea									33	ND: P1.ND,ND: F-ND: ST-63 ()			
49341	CCUG 346 T	159/62; BennettTree28	Unknown	NA				Neisseria cinerea								ERR160740	8	ND: P1.ND,ND: F5-1: ST-9331 ()	206	571	864
14731	ATCC 14685	BennettTree24; CCUG 2156; CIP 73.16; DSM 4630; LMG 8380; NCTC 10294	Unknown	NA				Neisseria cinerea									2	ND: P1.ND,ND: F5-1: ST-3579 ()	177	511	758
50859	16-530		Sweden	2016				Neisseria cinerea									209	ND: P1.ND,ND: F5-12: ST-12552 ()	206	571	864
701	200291001/6	Z6785	Mali	1991	carrier		endemic	Neisseria cinerea									33	ND: P1.ND,ND: F-ND: ST-64 ()			
39724	LNP23872		France	2007				Neisseria cinerea									75	ND: P1.ND,ND: F1-131: ST-16011 ()	7314	11498	16164
21041	CCUG 53043	911*465/06; 961*114/06; 962*135/06; BII-63507/06	Sweden	2006				Neisseria cinerea								ERR027250	8	ND: P1.ND,ND: F5-95: ST-10252 ()	225	592	888
42062	LNP28272		France	2015	carrier			Neisseria cinerea									75	ND: P1.ND,ND: F5-69: ST-16019 ()	3214	6192	9797
5214	LNP 415		Germany	1962	carrier			Neisseria cinerea									8	ND: P1.ND,ND: F-ND: ST-3579 ()			
42462	M16 240153		UK	2016		sputum		Neisseria cinerea	NG			NG				ERR1389429	225	NG: P1.ND,ND: F1-19: ST-14288 ()	3183	6121	9666
49345	CCUG 53898	ATCC 700276; BennettTree53; CIP 106968; Dent SHI/3848; V33	Unknown	NA		other		Neisseria dentiae								ERR160774	8	ND: P1.ND,ND: F12-1: ST-9335 ()	5666	9097	13058
57256	LNP29531		France	2017	invasive (unspecified/other)			Neisseria elongata									75	ND: P1.ND,4-36: F-ND: ST-ND (-)	16138	23228	30464
21042	CCUG 4554	Berger 180; Bovre 27	Unknown	NA		throat swab		Neisseria elongata								ERR026522	8	ND: P1.ND,ND: F-ND: ST-10253 ()	216	583	877
20516	CCUG 2043T	ATCC 25295; BOVRE M2; CCUG 2130 A; CIP 72.27; DSM 17712; Holten M2; LMG 5124; M2; NCTC 10660	Unknown	NA	other	throat swab		Neisseria elongata subsp. elongata								ERR033101	8	ND: P1.ND,4-36: F-ND: ST-9906 ()	229	596	892
14740	ATCC 29315	ATCC 29315; BennettTree52; CCUG 6508; CIP 82.85; NCTC 11050	Unknown	NA				Neisseria elongata subsp. glycolytica									2	ND: P1.ND,4-36: F-ND: ST-ND (-)			
